subject_code,module_number,module_title,topics
BCS3402,4,IO Management and File System,"File system structure; File system implementation; Directory implementation and allocation methods; Free space management; Kernel IO subsystems; Disk structure; Disk scheduling; Disk management; Swap space management"
BCS3403,1,Introduction and Arrays,"Basic terminology; Data types and classification; Algorithm complexity notations big O and time space trade off; Abstract data types; Arrays definition representation and analysis; Single and multidimensional arrays; Address calculation; Sparse matrices; Recursion definition and processes; Simulating recursion; Backtracking; Recursive algorithms; Tail recursion; Removal of recursion; Tower of Hanoi"
BCS3403,2,Stack and Linked List,"Stack; Array implementation of stack; Linked representation of stack; Applications of stack; Conversion of infix to prefix and postfix expressions; Expression evaluation; Queue; Array and linked implementation of queues; Circular queues; Deques; Priority queues; Singly linked list implementation; Two way header list; Doubly linked list; Linked list in array; Generalized linked list; Applications garbage collection and compaction; Polynomial arithmetic"
BCS3403,3,Trees Searching Sorting and Hashing,"Trees basic terminology; Binary trees; Algebraic expressions; Complete binary tree; Extended binary tree; Array and linked representation of binary trees; Traversing binary trees; Threaded binary trees; Binary search tree; AVL trees; B trees; Tree applications algebraic expression and Huffman coding algorithm; Bubble sort; Selection sort; Quick sort; Merge sort; Heap sort; Radix sort; Sequential search; Binary search; Hash table and hash functions; Collision resolution strategies; Hash table implementation; Symbol table; Static tree table; Dynamic tree table"
BCS3403,4,Graphs,"Graphs terminology; Sequential and linked representation of graphs; Adjacency matrices adjacency lists adjacency multi list; Graph traversal depth first search breadth first search; Connected components; Spanning trees; Minimum cost spanning trees Prim's and Kruskal algorithm; Transitive closure and shortest path algorithm Warshall algorithm and Dijkstra algorithm"
BCS3404,1,Computer Evolution and Arithmetic,"Brief history of computers; Von Neumann architecture; Hardware architecture; Computer components; Interconnection structures; Bus interconnection; Register transfer language; Bus and memory transfers; Bus architecture; Bus arbitration techniques; Arithmetic logic; Shift micro operations; Arithmetic logic shift unit; Arithmetic algorithms addition and subtraction; Booth multiplication; Division algorithms"
BCS3404,2,Control Unit,"Control design hardwired and micro programmed; Design of arithmetic or logical operations; Multiple bus organization; Hardwired control; Micro programmed control; Microinstruction; Micro program sequencing; Wide branch addressing; Microinstruction with next address field; Prefetching; Microinstruction format; Pipeline control; Instruction pipeline; Pipeline performance"
BCS3404,3,Processor Organization and Input Output Organization,"Processor design general register organization; Stack organization; Addressing modes; Instruction format; Data transfer and manipulations; Program control; Reduced instruction set computer; Peripheral devices; IO interface and IO ports; Interrupts and interrupt hardware; Types of interrupts and exceptions; Modes of data transfer programmed IO interrupt initiated IO direct memory access; IO channels and processors; Serial communication synchronous and asynchronous; Standard communication interfaces"
BCS3404,4,Memory Organization,"Memory organization basic concept and hierarchy; Semiconductor RAM memories 2D and 2.5D memory organization; ROM memories; Cache memories concept and design issues performance; Address mapping and replacement; Magnetic disk; Magnetic tape; Optical disks; Virtual memory concept and implementation"
BCS3501,1,Introduction to Software Engineering,"Introduction to software engineering; Software engineering approaches; Defining the problem; Developing a solution strategy; Planning and development process; Software life cycle models; Visual modeling; Software development methods; Software cost estimation; Staffing level estimation; Estimating software maintenance cost"
BCS3501,2,Software Requirement Specification,"Software requirement specification; Formal requirement specification; Verification; Axiomatic specification; Algebraic specification"
BCS3501,3,Software Design and Testing,"Software design paradigms; Function oriented software design; Object oriented design; UML; Design patterns; User design interface pattern; Coding; Software testing; Unit testing; Integration and system testing; Debugging techniques"
BCS3501,4,Software Quality and Maintenance,"Software quality and maintenance; Software quality standards; SEI CMM and ISO-9001; Software reliability and fault tolerance; Software project management; Software project planning; Software monitoring and control; Software maintenance; Computer aided software engineering CASE; Software reuse; Component based software development; Extreme programming"
